         1250288 function calls (1197757 primitive calls) in 2.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.002    0.000 functools.py:732(_compose_mro)
       44    0.000    0.000    0.002    0.000 context.py:216(_resolve_builtin_function_type)
     5718    0.001    0.000    0.001    0.000 controlflow.py:118(successors)
      117    0.000    0.000    0.001    0.000 ir.py:1112(__repr__)
       19    0.000    0.000    0.001    0.000 typeinfer.py:1493(typeof_const)
      218    0.000    0.000    0.001    0.000 __init__.py:178(sub)
       50    0.000    0.000    0.001    0.000 itanium_mangler.py:138(<listcomp>)
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        8    0.000    0.000    0.001    0.000 module.py:56(__str__)
     1010    0.001    0.000    0.001    0.000 controlflow.py:368(_add_edge)
      151    0.000    0.000    0.001    0.000 instructions.py:349(__init__)
      144    0.001    0.000    0.001    0.000 <frozen ntpath>:208(split)
      134    0.000    0.000    0.001    0.000 instructions.py:582(descr)
      416    0.001    0.000    0.001    0.000 values.py:1091(_to_list)
     1362    0.001    0.000    0.001    0.000 typeinfer.py:899(__getitem__)
     5701    0.001    0.000    0.001    0.000 controlflow.py:126(predecessors)
      405    0.000    0.000    0.001    0.000 typeinfer.py:54(add_type)
      219    0.001    0.000    0.001    0.000 old_models.py:685(get_type)
      309    0.000    0.000    0.001    0.000 byteflow.py:144(_run_handle_exception)
     6484    0.001    0.000    0.001    0.000 _utils.py:13(is_used)
     1512    0.001    0.000    0.001    0.000 context.py:422(is_for_this_target)
      117    0.000    0.000    0.001    0.000 ir.py:204(short)
     2080    0.001    0.000    0.001    0.000 errors.py:844(new_error_context)
        1    0.000    0.000    0.001    0.001 nrtdynmod.py:165(_define_nrt_unresolved_abort)
        2    0.000    0.000    0.001    0.001 base.py:737(is_true)
        1    0.001    0.001    0.001    0.001 game_of_life.py:29(__init__)
       92    0.000    0.000    0.001    0.000 values.py:806(descr)
       25    0.000    0.000    0.001    0.000 targetconfig.py:191(__eq__)
       17    0.000    0.000    0.001    0.000 typeof.py:90(_typeof_type)
      205    0.000    0.000    0.001    0.000 instructions.py:207(<listcomp>)
        7    0.000    0.000    0.001    0.000 typeinfer.py:1106(unify)
     1941    0.001    0.000    0.001    0.000 registry.py:67(__getitem__)
       12    0.000    0.000    0.001    0.000 callconv.py:780(_get_return_status)
      101    0.000    0.000    0.001    0.000 builder.py:579(icmp_signed)
       20    0.000    0.000    0.001    0.000 callconv.py:739(check_try_status)
      766    0.000    0.000    0.001    0.000 ir_utils.py:2250(<listcomp>)
      184    0.000    0.000    0.001    0.000 lowering.py:1514(loadvar)
      261    0.000    0.000    0.001    0.000 values.py:961(append_basic_block)
        1    0.000    0.000    0.001    0.001 linalg.py:1(<module>)
        7    0.000    0.000    0.001    0.000 byteflow.py:208(_prune_phis)
       80    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
       35    0.000    0.000    0.001    0.000 misc.py:87(maybe_literal)
      116    0.000    0.000    0.001    0.000 instructions.py:532(__init__)
        5    0.000    0.000    0.001    0.000 functools.py:745(<listcomp>)
      200    0.000    0.000    0.001    0.000 builder.py:248(append_basic_block)
      396    0.000    0.000    0.001    0.000 warnings.py:166(simplefilter)
      795    0.000    0.000    0.001    0.000 lowering.py:360(_disable_sroa_like_opt)
        1    0.000    0.000    0.001    0.001 old_mathdecl.py:1(<module>)
        7    0.000    0.000    0.001    0.000 old_models.py:551(_as)
      225    0.000    0.000    0.001    0.000 types.py:521(wrap_constant_value)
     4739    0.001    0.000    0.001    0.000 analysis.py:69(<genexpr>)
      335    0.000    0.000    0.001    0.000 instructions.py:447(descr)
       98    0.000    0.000    0.001    0.000 npydecl.py:25(_handle_inputs)
      170    0.000    0.000    0.001    0.000 functools.py:741(is_related)
      350    0.000    0.000    0.001    0.000 ir.py:596(<genexpr>)
        7    0.000    0.000    0.001    0.000 compiler.py:634(define_untyped_pipeline)
      306    0.001    0.000    0.001    0.000 numpy_support.py:148(as_dtype)
       97    0.000    0.000    0.001    0.000 builder.py:834(cbranch)
      288    0.000    0.000    0.001    0.000 values.py:507(__hash__)
       92    0.000    0.000    0.001    0.000 values.py:794(__init__)
    10871    0.001    0.000    0.001    0.000 targetconfig.py:38(default)
      108    0.000    0.000    0.001    0.000 builder.py:826(branch)
     12/9    0.000    0.000    0.001    0.000 consts.py:73(_infer_expr)
        1    0.000    0.000    0.001    0.001 imputils.py:148(res)
      230    0.000    0.000    0.001    0.000 builder.py:281(goto_entry_block)
        7    0.000    0.000    0.001    0.000 removerefctpass.py:99(remove_unnecessary_nrt_usage)
        1    0.000    0.000    0.001    0.001 arrayobj.py:2828(array_shape)
      343    0.000    0.000    0.001    0.000 bytecode.py:264(next)
        7    0.000    0.000    0.001    0.000 byteflow.py:2180(__init__)
       45    0.000    0.000    0.001    0.000 module.py:189(functions)
        2    0.000    0.000    0.001    0.001 builder.py:550(neg)
        2    0.000    0.000    0.001    0.001 imputils.py:241(iternext_wrapper)
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
     8492    0.001    0.000    0.001    0.000 abstract.py:96(key)
       30    0.000    0.000    0.001    0.000 transforms.py:101(_dispose)
      182    0.000    0.000    0.001    0.000 base.py:479(get_value_type)
        1    0.000    0.000    0.001    0.001 old_boxing.py:474(unbox_array)
       14    0.000    0.000    0.001    0.000 itanium_mangler.py:183(mangle_args)
      553    0.000    0.000    0.001    0.000 <frozen _collections_abc>:859(__iter__)
       23    0.000    0.000    0.001    0.000 templates.py:188(fold_arguments)
       14    0.000    0.000    0.001    0.000 module.py:145(data_layout)
      166    0.000    0.000    0.001    0.000 itanium_mangler.py:83(_escape_string)
       21    0.000    0.000    0.001    0.000 base.py:431(insert_const_string)
       14    0.000    0.000    0.001    0.000 itanium_mangler.py:187(<listcomp>)
       50    0.000    0.000    0.001    0.000 old_models.py:135(contains_nrt_meminfo)
       19    0.000    0.000    0.001    0.000 __init__.py:400(_from_text_for)
        8    0.000    0.000    0.001    0.000 base.py:658(get_return_value)
     1939    0.001    0.000    0.001    0.000 utils.py:445(__setitem__)
    60/28    0.000    0.000    0.001    0.000 itanium_mangler.py:147(mangle_type_or_value)
       42    0.000    0.000    0.001    0.000 dispatcher.py:44(__init__)
     1191    0.001    0.000    0.001    0.000 base.py:138(append)
      187    0.000    0.000    0.001    0.000 targetconfig.py:57(top_or_none)
       22    0.000    0.000    0.001    0.000 module.py:124(name)
     7710    0.001    0.000    0.001    0.000 event.py:108(kind)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
       91    0.000    0.000    0.001    0.000 old_numbers.py:1363(constant_integer)
       54    0.000    0.000    0.001    0.000 base.py:510(get_constant)
      206    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
       12    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
       50    0.000    0.000    0.001    0.000 lowering.py:1645(_lit_or_omitted)
        7    0.000    0.000    0.001    0.000 untyped_passes.py:245(run_pass)
       87    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      151    0.000    0.000    0.001    0.000 instructions.py:365(descr)
       80    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       92    0.000    0.000    0.001    0.000 containers.py:256(__unliteral__)
       45    0.000    0.000    0.001    0.000 module.py:248(_dispose)
        1    0.000    0.000    0.001    0.001 old_boxing.py:1(<module>)
        2    0.000    0.000    0.001    0.001 old_numbers.py:119(int_divmod)
        8    0.000    0.000    0.001    0.000 passmanagers.py:389(add_instruction_combining_pass)
       80    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      261    0.000    0.000    0.001    0.000 values.py:1154(__init__)
      108    0.000    0.000    0.001    0.000 extending.py:325(__init__)
        2    0.000    0.000    0.001    0.000 old_numbers.py:62(int_divmod_signed)
        4    0.000    0.000    0.001    0.000 quicksort.py:258(make_jit_quicksort)
      194    0.000    0.000    0.001    0.000 event.py:436(on_exit)
        3    0.000    0.000    0.001    0.000 old_models.py:618(as_return)
      220    0.000    0.000    0.001    0.000 values.py:781(__init__)
        4    0.000    0.000    0.001    0.000 quicksort.py:27(make_quicksort_impl)
        7    0.000    0.000    0.001    0.000 lowering.py:218(extract_function_arguments)
        1    0.000    0.000    0.001    0.001 npyimpl.py:807(register_ufuncs)
      196    0.000    0.000    0.001    0.000 numpy_support.py:410(choose_types)
        7    0.000    0.000    0.001    0.000 removerefctpass.py:37(_legalize)
      620    0.001    0.000    0.001    0.000 types.py:158(__init__)
       28    0.000    0.000    0.001    0.000 dylib.py:15(add_symbol)
        7    0.000    0.000    0.001    0.000 transforms.py:369(with_lifting)
       71    0.000    0.000    0.001    0.000 cgutils.py:435(add_global_variable)
        7    0.000    0.000    0.001    0.000 pythonapi.py:1356(unserialize)
        7    0.000    0.000    0.001    0.000 typed_passes.py:911(_strip_phi_nodes)
       19    0.000    0.000    0.001    0.000 __init__.py:946(_normalized_name)
       12    0.000    0.000    0.001    0.000 packer.py:87(as_arguments)
      181    0.000    0.000    0.001    0.000 instructions.py:738(descr)
     2268    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        6    0.000    0.000    0.001    0.000 enum.py:499(__new__)
        7    0.000    0.000    0.001    0.000 callconv.py:152(decode_arguments)
       83    0.000    0.000    0.001    0.000 __init__.py:402(<genexpr>)
      112    0.000    0.000    0.001    0.000 typeinfer.py:1094(copy_type)
        1    0.000    0.000    0.001    0.001 old_arraymath.py:31(_check_blas)
        1    0.000    0.000    0.001    0.001 linalg.py:66(ensure_blas)
       98    0.000    0.000    0.001    0.000 ssa.py:332(on_assign)
     1229    0.001    0.000    0.001    0.000 context.py:524(insert_function)
        8    0.000    0.000    0.001    0.000 typeinfer.py:455(__call__)
        2    0.000    0.000    0.001    0.000 rangeobj.py:147(iternext)
        7    0.000    0.000    0.001    0.000 transforms.py:532(find_setupwiths)
        8    0.000    0.000    0.001    0.000 codegen.py:569(create_ir_module)
       36    0.000    0.000    0.001    0.000 quicksort.py:260(<lambda>)
       16    0.000    0.000    0.001    0.000 context.py:341(resolve_module_constants)
       50    0.000    0.000    0.001    0.000 old_models.py:97(traverse_models)
     1233    0.001    0.000    0.001    0.000 templates.py:1258(register_global)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        2    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
       51    0.000    0.000    0.001    0.000 contextlib.py:502(enter_context)
      134    0.000    0.000    0.001    0.000 instructions.py:583(<listcomp>)
       26    0.000    0.000    0.001    0.000 removerefctpass.py:44(valid_output)
       51    0.000    0.000    0.001    0.000 base.py:451(insert_unique_const)
        6    0.000    0.000    0.001    0.000 callconv.py:770(return_status_propagate)
       39    0.000    0.000    0.001    0.000 ir_utils.py:1622(find_callname)
       25    0.000    0.000    0.001    0.000 arraydecl.py:23(get_array_index_type)
       47    0.000    0.000    0.001    0.000 interpreter.py:2232(_op_LOAD_FAST)
       30    0.000    0.000    0.001    0.000 transforms.py:48(inlining_threshold)
       31    0.000    0.000    0.001    0.000 cgutils.py:682(unpack_tuple)
       98    0.000    0.000    0.001    0.000 numpy_support.py:397(<listcomp>)
      259    0.001    0.000    0.001    0.000 ir.py:1282(find_exprs)
        1    0.000    0.000    0.001    0.001 arrayobj.py:4503(codegen)
       18    0.000    0.000    0.001    0.000 itanium_mangler.py:174(mangle_templated_ident)
       80    0.000    0.000    0.001    0.000 pythonapi.py:29(register)
     2012    0.001    0.000    0.001    0.000 ir.py:259(__hash__)
        7    0.000    0.000    0.001    0.000 ssa.py:101(_iterated_domfronts)
       83    0.000    0.000    0.001    0.000 __init__.py:406(<genexpr>)
        7    0.001    0.000    0.001    0.000 {built-in method zlib.compressobj}
        7    0.000    0.000    0.001    0.000 transforms.py:537(find_ranges)
       20    0.000    0.000    0.001    0.000 base.py:954(get_python_api)
       16    0.000    0.000    0.001    0.000 imputils.py:432(impl_ret_borrowed)
       14    0.000    0.000    0.001    0.000 controlflow.py:263(backbone)
        5    0.000    0.000    0.001    0.000 base.py:675(pair_first)
      850    0.001    0.000    0.001    0.000 {built-in method _functools.reduce}
       30    0.000    0.000    0.001    0.000 templates.py:1028(resolve)
       22    0.000    0.000    0.001    0.000 arrayobj.py:56(mark_positive)
      396    0.001    0.000    0.001    0.000 warnings.py:182(_add_filter)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       31    0.000    0.000    0.001    0.000 cgutils.py:689(<listcomp>)
       35    0.000    0.000    0.001    0.000 array_exprs.py:33(match)
      126    0.000    0.000    0.001    0.000 lowering.py:402(<listcomp>)
      612    0.000    0.000    0.001    0.000 {built-in method builtins.all}
  421/417    0.000    0.000    0.001    0.000 types.py:165(_to_string)
      331    0.000    0.000    0.001    0.000 byteflow.py:1893(append)
     1145    0.001    0.000    0.001    0.000 ir.py:387(__getattr__)
      184    0.000    0.000    0.001    0.000 inspect.py:2955(__init__)
     3185    0.001    0.000    0.001    0.000 ffi.py:139(__getattr__)
        2    0.000    0.000    0.001    0.000 arrayobj.py:4354(safecast_intp)
        1    0.000    0.000    0.001    0.001 pythonapi.py:1219(nrt_adapt_ndarray_to_python)
       20    0.000    0.000    0.001    0.000 pythonapi.py:169(__init__)
     1674    0.001    0.000    0.001    0.000 abstract.py:20(_autoincr)
       12    0.000    0.000    0.001    0.000 packer.py:97(<listcomp>)
       22    0.000    0.000    0.001    0.000 arrayobj.py:45(set_range_metadata)
       37    0.000    0.000    0.001    0.000 containers.py:144(from_types)
       33    0.000    0.000    0.001    0.000 interpreter.py:1594(_end_current_block)
        7    0.000    0.000    0.001    0.000 controlflow.py:227(_post_doms)
      189    0.000    0.000    0.001    0.000 compiler_machinery.py:200(add_pass)
        1    0.000    0.000    0.001    0.001 cffi_utils.py:1(<module>)
      110    0.000    0.000    0.001    0.000 typeof.py:41(typeof_impl)
      384    0.000    0.000    0.001    0.000 values.py:989(<genexpr>)
        8    0.000    0.000    0.001    0.000 passmanagers.py:365(add_jump_threading_pass)
        7    0.000    0.000    0.001    0.000 controlflow.py:558(_find_post_dominators)
        8    0.000    0.000    0.001    0.000 context.py:316(resolve_static_getitem)
       68    0.000    0.000    0.001    0.000 event.py:337(install_timer)
       51    0.000    0.000    0.001    0.000 cgutils.py:993(global_constant)
      303    0.001    0.000    0.001    0.000 <frozen ntpath>:154(splitdrive)
      286    0.000    0.000    0.001    0.000 templates.py:182(signature)
      198    0.000    0.000    0.001    0.000 builder.py:290(_branch_helper)
        5    0.000    0.000    0.001    0.000 base.py:682(pair_second)
      467    0.000    0.000    0.001    0.000 context.py:249(_get_attribute_templates)
      743    0.001    0.000    0.001    0.000 value.py:87(__init__)
       41    0.000    0.000    0.001    0.000 values.py:70(wrapped)
       12    0.000    0.000    0.001    0.000 base.py:1019(make_tuple)
       71    0.000    0.000    0.001    0.000 typed_passes.py:700(_get_callable_info)
     2526    0.001    0.000    0.001    0.000 _utils.py:71(_stringify_metadata)
       30    0.000    0.000    0.001    0.000 transforms.py:6(create_pass_manager_builder)
       16    0.000    0.000    0.001    0.000 lowering.py:846(fold_call_args)
     1256    0.001    0.000    0.001    0.000 cpu_options.py:131(__init__)
        7    0.000    0.000    0.001    0.000 byteflow.py:240(propagate_phi_map)
     1292    0.000    0.000    0.001    0.000 __init__.py:1467(debug)
      144    0.000    0.000    0.001    0.000 values.py:452(_to_string)
       50    0.000    0.000    0.001    0.000 builder.py:588(icmp_unsigned)
        6    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      264    0.000    0.000    0.001    0.000 ir_utils.py:1587(get_definition)
       59    0.000    0.000    0.001    0.000 copy.py:66(copy)
      133    0.000    0.000    0.001    0.000 instructions.py:140(<listcomp>)
      504    0.000    0.000    0.001    0.000 <frozen os>:674(__getitem__)
      274    0.000    0.000    0.001    0.000 ir.py:608(<genexpr>)
      528    0.000    0.000    0.001    0.000 <frozen ntpath>:51(normcase)
      232    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       32    0.000    0.000    0.001    0.000 callconv.py:101(get_return_type)
        5    0.000    0.000    0.001    0.000 options.py:30(parse_as_flags)
      261    0.000    0.000    0.001    0.000 builder.py:357(_set_terminator)
        1    0.000    0.000    0.001    0.001 arrayobj.py:4340(codegen)
        5    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       56    0.000    0.000    0.001    0.000 base.py:66(_best_signature)
        1    0.000    0.000    0.001    0.001 context.py:45(wrap)
       30    0.000    0.000    0.001    0.000 transforms.py:25(opt_level)
      476    0.000    0.000    0.001    0.000 types.py:677(__eq__)
      331    0.001    0.000    0.001    0.000 ir.py:1553(get_definition)
     4329    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       30    0.000    0.000    0.001    0.000 transforms.py:13(__init__)
       80    0.000    0.000    0.001    0.000 typeinfer.py:1652(typeof_expr)
      814    0.001    0.000    0.001    0.000 values.py:860(__init__)
      451    0.000    0.000    0.001    0.000 controlflow.py:602(push_state)
       28    0.000    0.000    0.001    0.000 builder.py:320(if_else)
       24    0.000    0.000    0.001    0.000 module.py:176(global_variables)
       81    0.000    0.000    0.001    0.000 ssa.py:40(get)
     3989    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 rangeobj.py:1(<module>)
        7    0.000    0.000    0.001    0.000 __init__.py:798(children)
      578    0.000    0.000    0.001    0.000 context.py:51(__getitem__)
      424    0.000    0.000    0.001    0.000 values.py:875(_to_list)
       16    0.000    0.000    0.001    0.000 dispatcher.py:57(fold_argument_types)
       12    0.000    0.000    0.001    0.000 old_models.py:483(from_data)
       30    0.000    0.000    0.001    0.000 typeinfer.py:205(__call__)
        5    0.000    0.000    0.001    0.000 pythonapi.py:861(gil_ensure)
     3671    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      162    0.000    0.000    0.001    0.000 typeinfer.py:1168(check_var)
      343    0.000    0.000    0.001    0.000 bytecode.py:261(_fetch_opcode)
      416    0.000    0.000    0.001    0.000 values.py:1051(__init__)
       56    0.000    0.000    0.001    0.000 old_models.py:651(set)
       83    0.000    0.000    0.001    0.000 __init__.py:101(<genexpr>)
        7    0.000    0.000    0.001    0.000 packer.py:104(from_arguments)
       14    0.000    0.000    0.001    0.000 passmanagers.py:49(dump_refprune_stats)
       10    0.001    0.000    0.001    0.000 {built-in method _hashlib.openssl_sha1}
       30    0.000    0.000    0.001    0.000 transforms.py:71(loop_vectorize)
     1333    0.000    0.000    0.001    0.000 utils.py:332(key)
      218    0.000    0.000    0.001    0.000 __init__.py:272(_compile)
        7    0.000    0.000    0.001    0.000 controlflow.py:179(dominance_frontier)
       35    0.000    0.000    0.001    0.000 lowering.py:410(pre_block)
       49    0.000    0.000    0.001    0.000 builder.py:858(ret)
        1    0.000    0.000    0.001    0.001 arrayobj.py:187(populate_array)
       18    0.000    0.000    0.001    0.000 old_scalars.py:78(__init__)
       18    0.000    0.000    0.001    0.000 templates.py:1119(_resolve)
       30    0.000    0.000    0.001    0.000 transforms.py:83(slp_vectorize)
        5    0.000    0.000    0.001    0.000 consts.py:85(<genexpr>)
      189    0.000    0.000    0.001    0.000 compiler_machinery.py:187(_validate_pass)
     3249    0.001    0.000    0.001    0.000 compiler.py:355(__getattr__)
      199    0.000    0.000    0.001    0.000 ir.py:1174(define)
       33    0.000    0.000    0.001    0.000 byteflow.py:2040(get_outgoing_states)
      144    0.000    0.000    0.001    0.000 typeinfer.py:655(_add_refine_map)
       15    0.000    0.000    0.001    0.000 arraydecl.py:211(generic)
        7    0.000    0.000    0.001    0.000 bytecode.py:619(from_function)
       39    0.000    0.000    0.001    0.000 inspect.py:3190(bind)
        7    0.000    0.000    0.001    0.000 typed_passes.py:543(run_pass)
       14    0.001    0.000    0.001    0.000 __init__.py:48(create_string_buffer)
        6    0.000    0.000    0.001    0.000 typed_passes.py:678(_get_attr_info)
        2    0.000    0.000    0.001    0.000 rangeobj.py:26(range1_impl)
      595    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
        7    0.000    0.000    0.001    0.000 controlflow.py:235(_df)
      128    0.000    0.000    0.001    0.000 values.py:1137(__str__)
      299    0.000    0.000    0.001    0.000 target_extension.py:71(resolve_target_str)
        7    0.000    0.000    0.001    0.000 controlflow.py:497(_find_dominance_frontier)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
        7    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
      396    0.001    0.000    0.001    0.000 warnings.py:467(__enter__)
        7    0.000    0.000    0.001    0.000 packer.py:109(<listcomp>)
       16    0.000    0.000    0.001    0.000 inline_closurecall.py:1488(inline_array)
        6    0.000    0.000    0.001    0.000 templates.py:1089(_get_function_type)
       42    0.000    0.000    0.001    0.000 dispatcher.py:199(__init__)
      297    0.000    0.000    0.001    0.000 abstract.py:444(literal_type)
        4    0.000    0.000    0.001    0.000 old_models.py:612(as_argument)
      114    0.000    0.000    0.001    0.000 instructions.py:30(descr)
     3887    0.001    0.000    0.001    0.000 builder.py:195(block)
       14    0.000    0.000    0.001    0.000 ir_utils.py:1597(build_definitions)
      112    0.000    0.000    0.001    0.000 typeinfer.py:110(union)
        1    0.000    0.000    0.001    0.001 cgutils.py:890(guard_memory_error)
      369    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      232    0.000    0.000    0.001    0.000 byteflow.py:1875(make_temp)
        7    0.000    0.000    0.001    0.000 untyped_passes.py:284(run_pass)
        1    0.000    0.000    0.001    0.001 old_cmathdecl.py:1(<module>)
        6    0.000    0.000    0.001    0.000 old_models.py:626(<listcomp>)
      524    0.000    0.000    0.001    0.000 enum.py:688(__call__)
      620    0.000    0.000    0.001    0.000 types.py:126(__new__)
       27    0.000    0.000    0.001    0.000 callconv.py:841(type_may_always_need_nrt)
        2    0.000    0.000    0.001    0.000 callwrapper.py:38(cleanup_arg)
        1    0.000    0.000    0.001    0.001 old_hashing.py:430(_build_hashsecret)
       45    0.000    0.000    0.001    0.000 transforms.py:301(has_multiple_backedges)
     1005    0.000    0.000    0.001    0.000 imputils.py:37(decorate)
       56    0.000    0.000    0.001    0.000 base.py:83(_sort_signatures)
       13    0.000    0.000    0.001    0.000 cgutils.py:656(pack_array)
       33    0.000    0.000    0.001    0.000 interpreter.py:1661(_remove_unused_temporaries)
      257    0.000    0.000    0.001    0.000 instructions.py:134(descr_arg)
      567    0.000    0.000    0.001    0.000 compiler_machinery.py:431(get)
       39    0.000    0.000    0.001    0.000 inspect.py:3059(_bind)
        7    0.000    0.000    0.001    0.000 interpreter.py:509(peep_hole_call_function_ex_to_call_function_kw)
        3    0.000    0.000    0.001    0.000 old_hashing.py:444(inject)
       16    0.000    0.000    0.001    0.000 passmanagers.py:91(create_module_pass_manager)
       24    0.000    0.000    0.001    0.000 module.py:237(_dispose)
        7    0.000    0.000    0.001    0.000 typed_passes.py:193(run_pass)
      121    0.000    0.000    0.001    0.000 utils.py:35(erase_traceback)
      270    0.000    0.000    0.001    0.000 context.py:678(unify_pairs)
        1    0.000    0.000    0.001    0.001 polynomial_functions.py:1(<module>)
        7    0.000    0.000    0.001    0.000 ir_utils.py:2065(raise_on_unsupported_feature)
       98    0.000    0.000    0.001    0.000 numpy_support.py:350(numpy_outputs)
       35    0.000    0.000    0.001    0.000 static_getitem.py:147(match)
      205    0.000    0.000    0.001    0.000 interpreter.py:1857(get)
       14    0.000    0.000    0.001    0.000 passmanagers.py:95(create_function_pass_manager)
        2    0.000    0.000    0.001    0.000 callconv.py:920(fp_zero_division)
       16    0.000    0.000    0.001    0.000 passmanagers.py:680(__init__)
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       30    0.000    0.000    0.001    0.000 codegen.py:32(_parse_refprune_flags)
     1031    0.000    0.000    0.001    0.000 byteflow.py:1868(get_inst)
       35    0.000    0.000    0.001    0.000 module.py:215(_get_metadata_lines)
      679    0.000    0.000    0.001    0.000 values.py:575(function_type)
        7    0.000    0.000    0.001    0.000 controlflow.py:231(_idom)
      194    0.000    0.000    0.001    0.000 contextlib.py:482(push)
       10    0.000    0.000    0.001    0.000 arraydecl.py:221(generic)
       39    0.000    0.000    0.000    0.000 enum.py:242(__set_name__)
        7    0.000    0.000    0.000    0.000 controlflow.py:444(_find_immediate_dominators)
      117    0.000    0.000    0.000    0.000 ir.py:1203(get_or_define)
      216    0.000    0.000    0.000    0.000 targetconfig.py:69(__init__)
     2030    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       38    0.000    0.000    0.000    0.000 __init__.py:877(normalize)
        1    0.000    0.000    0.000    0.000 old_random_methods.py:1(<module>)
      343    0.000    0.000    0.000    0.000 bytecode.py:238(_patched_opargs)
       14    0.000    0.000    0.000    0.000 passmanagers.py:742(__init__)
       60    0.000    0.000    0.000    0.000 values.py:31(_escape_string)
     3074    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        6    0.000    0.000    0.000    0.000 cpu.py:45(create_module)
        7    0.000    0.000    0.000    0.000 byteflow.py:80(__init__)
       38    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       14    0.000    0.000    0.000    0.000 controlflow.py:512(_find_dominators_internal)
      261    0.000    0.000    0.000    0.000 values.py:1188(_format_name)
       20    0.000    0.000    0.000    0.000 callconv.py:729(_get_try_state)
      666    0.000    0.000    0.000    0.000 analysis.py:138(<genexpr>)
     3671    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       11    0.000    0.000    0.000    0.000 cgutils.py:145(_get_ptr_by_name)
     3489    0.000    0.000    0.000    0.000 values.py:554(_get_name)
       71    0.000    0.000    0.000    0.000 typed_passes.py:702(get_func_type)
       10    0.000    0.000    0.000    0.000 arrayobj.py:149(fix_integer_index)
      464    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       21    0.000    0.000    0.000    0.000 module.py:76(_dispose)
       10    0.000    0.000    0.000    0.000 serialize.py:52(dumps)
       52    0.000    0.000    0.000    0.000 packer.py:167(__init__)
       14    0.000    0.000    0.000    0.000 module.py:151(triple)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      617    0.000    0.000    0.000    0.000 byteflow.py:1800(__hash__)
      247    0.000    0.000    0.000    0.000 misc.py:124(__init__)
       50    0.000    0.000    0.000    0.000 old_models.py:101(<listcomp>)
        6    0.000    0.000    0.000    0.000 pythonapi.py:1370(build_dynamic_excinfo_struct)
        1    0.000    0.000    0.000    0.000 nrtdynmod.py:63(_define_nrt_decref)
       98    0.000    0.000    0.000    0.000 numpy_support.py:352(<listcomp>)
      177    0.000    0.000    0.000    0.000 inspect.py:167(get_annotations)
       41    0.000    0.000    0.000    0.000 cgutils.py:44(make_bytearray)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       13    0.000    0.000    0.000    0.000 packer.py:115(assign_names)
       53    0.000    0.000    0.000    0.000 instructions.py:226(__init__)
       17    0.000    0.000    0.000    0.000 module.py:79(get_function)
       14    0.000    0.000    0.000    0.000 removerefctpass.py:51(valid_input)
        5    0.000    0.000    0.000    0.000 codegen.py:1421(set_env)
        6    0.000    0.000    0.000    0.000 pythonapi.py:327(err_set_none)
     1713    0.000    0.000    0.000    0.000 templates.py:276(__init__)
